t,starx,stary,starz,starvx,starvy,starvz,star_sx, star_sy, star_sz, a1,i1,e1,s1x,s1y,s1z,mag1,pom1,Om1,f1,p1x,p1y,p1z,p1vx,p1vy,p1vz,a2,i2,e2,s2x,s2y,s2z,mag2,pom2,Om2,f2,p2x,p2y,p2z,p2vx,p2vy,p2vz
840.000000,0.000004,-0.000002,-0.000000,0.000015,0.000045,-0.000000,0.000000,-0.000001,18.250000,0.173032,0.008727,0.010334,-0.0969804608,1.5274883178,72.9516050597,72.9676593194,0.179003,-2.887295,3.354055,-0.161553,-0.066687,0.000209,0.912860,-2.197710,0.020567,0.232898,0.007522,0.009798,2.5698018301,-2.8297932122,121.5903870234,121.6504575724,0.263092,0.254314,1.716735,-0.092746,0.213961,0.001733,-1.906569,-0.804515,-0.002250
880.000000,0.000000,-0.000006,-0.000000,0.000066,0.000005,-0.000000,0.000000,-0.000001,18.250000,0.173044,0.008724,0.010621,0.1061789629,1.4993903759,72.9506343275,72.9661188104,-6.057242,-3.024762,1.568379,-0.038352,0.168703,-0.001501,-2.349928,-0.508013,0.002012,0.232892,0.007520,0.009509,2.2410476193,-3.1792044888,121.5874842937,121.6496854598,0.232659,0.116825,1.266352,0.016656,0.231598,0.001715,-2.071407,0.167799,0.003069
920.000000,-0.000004,-0.000003,-0.000000,0.000029,-0.000052,0.000000,-0.000000,-0.000001,18.250000,0.173028,0.008724,0.010160,0.2976030857,1.4461221038,72.9496391566,72.9645783227,0.230699,3.121268,6.099933,0.171102,0.008121,-0.000101,-0.119586,2.425113,-0.021133,0.232902,0.007520,0.010070,1.8627377275,-3.4929332778,121.5844880710,121.6489133294,0.246931,-0.020363,0.797908,0.116094,0.199989,0.001521,-1.797230,1.060498,0.007699
960.000000,-0.000003,0.000001,-0.000000,-0.000018,-0.000023,-0.000000,-0.000000,-0.000001,18.250000,0.173030,0.008726,0.010534,0.4747423126,1.3706028487,72.9486185666,72.9630377877,0.222381,2.983927,4.411049,-0.013691,-0.173006,0.001510,2.391080,-0.164963,-0.001855,0.232880,0.007522,0.009675,1.4383211003,-3.7635955999,121.5814000312,121.6481411818,0.279938,-0.157685,0.336573,0.188266,0.133414,0.001213,-1.203765,1.710015,0.011281
1000.000000,-0.000001,-0.000001,-0.000000,0.000011,0.000005,-0.000001,-0.000000,-0.000001,18.250000,0.173031,0.008726,0.010680,0.6355553120,1.2762931734,72.9475648202,72.9614971613,0.277074,2.846010,2.746288,-0.173514,0.020611,0.000269,-0.290572,-2.362603,0.020461,0.232871,0.007522,0.009498,0.9724126736,-3.9840806415,121.5782213334,121.6473690120,0.244585,-0.295560,6.257251,0.225166,0.050029,0.000853,-0.454291,2.042073,0.013699
1040.000000,-0.000004,-0.000002,0.000000,0.000031,-0.000036,-0.000000,-0.000000,-0.000001,18.250000,0.173024,0.008724,0.010236,0.7788478154,1.1662540962,72.9464769747,72.9599565211,0.295464,2.708495,1.141398,0.022998,0.170721,-0.001436,-2.389803,0.344576,0.006021,0.232888,0.007519,0.009995,0.4707670317,-4.1477452772,121.5749526252,121.6465968217,0.251117,-0.433057,5.882064,0.228146,-0.034486,0.000485,0.304549,2.068998,0.015083
1080.000000,-0.000006,0.000002,0.000000,-0.000020,-0.000064,0.000000,-0.000000,-0.000001,18.250000,0.173035,0.008726,0.010360,0.9038882069,1.0437893982,72.9453489908,72.9584158928,0.270217,2.570995,5.867998,0.169586,-0.024760,-0.000618,0.340595,2.402791,-0.019252,0.232885,0.007522,0.009833,-0.0597758025,-4.2485900488,121.5715943561,121.6458246091,0.299834,-0.570569,5.495425,0.204266,-0.108411,0.000144,0.965417,1.849837,0.015633
1120.000000,-0.000002,0.000005,-0.000000,-0.000058,-0.000019,-0.000000,-0.000000,-0.000001,18.250000,0.173022,0.008725,0.010506,1.0106560226,0.9115804672,72.9441789054,72.9568752122,0.328332,2.433990,4.286637,-0.016899,-0.172924,0.001242,2.384594,-0.209998,-0.012133,0.232891,0.007521,0.009638,-0.6113599666,-4.2814318575,121.5681469256,121.6450523724,0.251138,-0.707593,5.238487,0.162526,-0.165197,-0.000150,1.472169,1.472594,0.015613
1160.000000,0.000001,0.000003,-0.000000,-0.000028,0.000020,-0.000000,-0.000000,-0.000001,18.250000,0.173023,0.008725,0.010105,1.0993187535,0.7722936919,72.9429632425,72.9553344579,0.321935,2.295995,2.846957,-0.174624,-0.004762,0.001168,0.057955,-2.380218,0.013396,0.232873,0.007521,0.010044,-1.1752039871,-4.2420686348,121.5646109435,121.6442801145,0.283102,-0.845588,4.930812,0.111704,-0.203726,-0.000388,1.811267,1.016286,0.015264
1200.000000,-0.000000,0.000001,0.000000,0.000006,-0.000002,-0.000001,-0.000000,-0.000001,18.250000,0.173025,0.008723,0.010406,1.1705971355,0.6279624829,72.9416984904,72.9537936861,0.305518,2.158542,1.448980,-0.031566,0.169880,-0.000593,-2.371210,-0.415274,0.019221,0.232859,0.007519,0.009762,-1.7417230372,-4.1274455592,121.5609871294,121.6435078327,0.325220,-0.983015,4.645461,0.059514,-0.225259,-0.000567,1.997164,0.548495,0.014783
