,K,mag,filename
152,789.69,0.17018902820589646,IC152K7.8969e+02mag1.7019e-01.bin
154,103.62,0.07792051639448612,IC154K1.0362e+02mag7.7921e-02.bin
159,378.17,0.0038830800172831204,IC159K3.7817e+02mag3.8831e-03.bin
162,43.853,0.1850399672715453,IC162K4.3853e+01mag1.8504e-01.bin
163,238.74,0.026440458577690288,IC163K2.3874e+02mag2.6440e-02.bin
167,626.26,0.003128574466080432,IC167K6.2626e+02mag3.1286e-03.bin
168,156.89,0.03652065753733735,IC168K1.5689e+02mag3.6521e-02.bin
174,83.191,0.4885920893791154,IC174K8.3191e+01mag4.8859e-01.bin
178,111.99,0.0013034068657734547,IC178K1.1199e+02mag1.3034e-03.bin
179,795.99,0.00744015596759741,IC179K7.9599e+02mag7.4402e-03.bin
188,105.67,0.23392138385806546,IC188K1.0567e+02mag2.3392e-01.bin
190,309.21,0.07613082695775443,IC190K3.0921e+02mag7.6131e-02.bin
191,121.12,0.005841532251724246,IC191K1.2112e+02mag5.8415e-03.bin
192,327.04,0.012526368617456388,IC192K3.2704e+02mag1.2526e-02.bin
196,239.34,0.05419087611710627,IC196K2.3934e+02mag5.4191e-02.bin
197,544.27,0.2260001162247133,IC197K5.4427e+02mag2.2600e-01.bin
198,165.81,0.7528874137356177,IC198K1.6581e+02mag7.5289e-01.bin
201,16.897000000000002,0.17524372182910322,IC201K1.6897e+01mag1.7524e-01.bin
203,496.36,0.003688207001735572,IC203K4.9636e+02mag3.6882e-03.bin
204,726.3,0.013919007466019316,IC204K7.2630e+02mag1.3919e-02.bin
205,832.76,0.048175510435085535,IC205K8.3276e+02mag4.8176e-02.bin
214,12.488,0.011672776301886694,IC214K1.2488e+01mag1.1673e-02.bin
215,20.316,0.029423570340992636,IC215K2.0316e+01mag2.9424e-02.bin
220,52.518,0.013211747148222031,IC220K5.2518e+01mag1.3212e-02.bin
221,123.92,0.7814875181871144,IC221K1.2392e+02mag7.8149e-01.bin
222,112.73,0.1137500392674025,IC222K1.1273e+02mag1.1375e-01.bin
